ax,ay,az,ex,ey,ez,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
-0.820000,0.820000,-2.060000,0.000000,0.000000,0.000000,-11.562500,14.937500,-79.625000,0.000000,0.000000,0.000000,0.159912,0.946411,0.280090,-0.017273,76.000000,0.000000,3.000000,3.000000,3.000000,1579.145000,156188.000000
-1.240000,1.320000,-2.490000,0.000000,0.000000,0.000000,-14.500000,17.812500,-78.812500,0.000000,0.000000,0.000000,0.160522,0.944336,0.286621,-0.016602,76.000000,0.000000,3.000000,3.000000,3.000000,1579.155000,156189.000000
-1.530000,1.460000,-2.670000,0.000000,0.000000,0.000000,-15.937500,24.875000,-77.625000,0.000000,0.000000,0.000000,0.161133,0.942261,0.293152,-0.015259,76.000000,0.000000,3.000000,3.000000,3.000000,1579.165000,156190.000000
-1.800000,1.670000,-2.800000,0.000000,0.000000,0.000000,-15.250000,35.937500,-76.937500,0.000000,0.000000,0.000000,0.161316,0.940186,0.299805,-0.013062,76.000000,0.000000,3.000000,3.000000,3.000000,1579.175000,156191.000000
-2.030000,1.980000,-2.960000,0.000000,0.000000,0.000000,-13.437500,49.562500,-76.812500,0.000000,0.000000,0.000000,0.161072,0.938049,0.306580,-0.009827,76.000000,0.000000,3.000000,3.000000,3.000000,1579.185000,156192.000000
-1.530000,2.370000,-2.910000,0.000000,0.000000,0.000000,-15.625000,67.375000,-74.875000,0.000000,0.000000,0.000000,0.160461,0.935913,0.313416,-0.005127,76.000000,0.000000,3.000000,3.000000,3.000000,1579.195000,156193.000000
-1.200000,2.470000,-2.890000,0.000000,0.000000,0.000000,-17.062500,84.312500,-72.500000,0.000000,0.000000,0.000000,0.159546,0.933777,0.320312,0.001038,76.000000,0.000000,3.000000,3.000000,3.000000,1579.205000,156194.000000
-0.890000,2.370000,-2.910000,0.000000,0.000000,0.000000,-16.812500,97.625000,-72.312500,0.000000,0.000000,0.000000,0.158264,0.931519,0.327332,0.008240,76.000000,0.000000,3.000000,3.000000,3.000000,1579.215000,156195.000000
-0.580000,2.110000,-2.660000,0.000000,0.000000,0.000000,-16.625000,106.187500,-73.437500,0.000000,0.000000,0.000000,0.156677,0.929138,0.334473,0.016052,76.000000,0.000000,3.000000,3.000000,3.000000,1579.225000,156196.000000
-0.500000,2.040000,-2.590000,0.000000,0.000000,0.000000,-19.812500,113.937500,-73.000000,0.000000,0.000000,0.000000,0.155090,0.926636,0.341675,0.024597,76.000000,0.000000,3.000000,3.000000,3.000000,1579.235000,156197.000000
-0.200000,1.840000,-2.330000,0.000000,0.000000,0.000000,-24.250000,119.500000,-72.000000,0.000000,0.000000,0.000000,0.153687,0.923889,0.348816,0.033691,76.000000,0.000000,3.000000,3.000000,3.000000,1579.245000,156198.000000
-0.030000,1.600000,-2.030000,0.000000,0.000000,0.000000,-27.500000,121.625000,-73.062500,0.000000,0.000000,0.000000,0.152466,0.920959,0.355957,0.043030,76.000000,0.000000,3.000000,3.000000,3.000000,1579.255000,156199.000000
0.240000,1.530000,-1.870000,0.000000,0.000000,0.000000,-27.250000,121.312500,-75.187500,0.000000,0.000000,0.000000,0.151184,0.917847,0.363281,0.052307,76.000000,0.000000,3.000000,3.000000,3.000000,1579.265000,156200.000000
0.240000,1.430000,-1.730000,0.000000,0.000000,0.000000,-26.062500,118.750000,-74.312500,0.000000,0.000000,0.000000,0.149902,0.914612,0.370422,0.061401,76.000000,0.000000,3.000000,3.000000,3.000000,1579.275000,156201.000000
0.200000,1.220000,-1.500000,0.000000,0.000000,0.000000,-25.375000,114.375000,-70.125000,0.000000,0.000000,0.000000,0.148621,0.911499,0.377136,0.070129,76.000000,0.000000,3.000000,3.000000,3.000000,1579.285000,156202.000000
0.320000,1.260000,-1.230000,0.000000,0.000000,0.000000,-24.875000,110.250000,-64.562500,0.000000,0.000000,0.000000,0.147400,0.908386,0.383301,0.078613,76.000000,0.000000,3.000000,3.000000,3.000000,1579.295000,156203.000000
0.520000,1.850000,-0.730000,0.000000,0.000000,0.000000,-22.250000,105.312500,-60.875000,0.000000,0.000000,0.000000,0.146057,0.905396,0.389099,0.086609,76.000000,0.000000,3.000000,3.000000,3.000000,1579.305000,156204.000000
