ax,ay,az,ex,ey,ez,gx,gy,gz,qw,qx,qy,qz,mx,my,mz,BatteryPercent,SystemStatus,GyroStatus,AccelStatus,MagStatus,Timestamp,SequenceNum
-0.080000,-2.490000,0.620000,0.000000,0.000000,0.000000,33.875000,36.687500,-44.437500,0.000000,0.000000,0.000000,0.131775,0.973755,0.184448,-0.020935,77.000000,0.000000,3.000000,3.000000,3.000000,1491.796000,147498.000000
0.800000,0.060000,-0.270000,0.000000,0.000000,0.000000,24.437500,36.750000,-36.437500,0.000000,0.000000,0.000000,0.129089,0.973511,0.187805,-0.018677,77.000000,0.000000,3.000000,3.000000,3.000000,1491.806000,147499.000000
-0.120000,0.020000,-0.130000,0.000000,0.000000,0.000000,20.500000,33.625000,-32.000000,0.000000,0.000000,0.000000,0.124084,0.973022,0.194092,-0.014404,77.000000,0.000000,3.000000,3.000000,3.000000,1491.816000,147500.000000
0.300000,-0.940000,-0.130000,0.000000,0.000000,0.000000,17.750000,38.500000,-31.625000,0.000000,0.000000,0.000000,0.121948,0.972717,0.197083,-0.011841,77.000000,0.000000,3.000000,3.000000,3.000000,1491.826000,147501.000000
0.460000,-0.280000,-0.360000,0.000000,0.000000,0.000000,17.750000,38.500000,-31.625000,0.000000,0.000000,0.000000,0.120239,0.972412,0.199646,-0.009766,77.000000,0.000000,3.000000,3.000000,3.000000,1491.836000,147502.000000
0.090000,-0.430000,-0.370000,0.000000,0.000000,0.000000,14.187500,31.562500,-27.625000,0.000000,0.000000,0.000000,0.120239,0.972412,0.199646,-0.009766,77.000000,0.000000,3.000000,3.000000,3.000000,1491.846000,147503.000000
-0.280000,-0.590000,-0.480000,0.000000,0.000000,0.000000,10.750000,26.312500,-24.187500,0.000000,0.000000,0.000000,0.118835,0.972107,0.201904,-0.008057,77.000000,0.000000,3.000000,3.000000,3.000000,1491.856000,147504.000000
-0.090000,-0.750000,-0.320000,0.000000,0.000000,0.000000,7.437500,24.000000,-18.562500,0.000000,0.000000,0.000000,0.116699,0.971619,0.205566,-0.004700,77.000000,0.000000,3.000000,3.000000,3.000000,1491.866000,147505.000000
-0.080000,-0.370000,-0.390000,0.000000,0.000000,0.000000,3.625000,22.937500,-16.250000,0.000000,0.000000,0.000000,0.116028,0.971375,0.207153,-0.002991,77.000000,0.000000,3.000000,3.000000,3.000000,1491.876000,147506.000000
-0.150000,-1.640000,-0.440000,0.000000,0.000000,0.000000,3.625000,22.937500,-16.250000,0.000000,0.000000,0.000000,0.115967,0.971191,0.208191,-0.001343,77.000000,0.000000,3.000000,3.000000,3.000000,1491.886000,147507.000000
-0.210000,-0.110000,-0.880000,0.000000,0.000000,0.000000,-3.875000,20.375000,-9.875000,0.000000,0.000000,0.000000,0.116455,0.971008,0.208740,0.000000,77.000000,0.000000,3.000000,3.000000,3.000000,1491.896000,147508.000000
-1.140000,0.670000,-1.810000,0.000000,0.000000,0.000000,-9.187500,15.187500,-5.062500,0.000000,0.000000,0.000000,0.116455,0.971008,0.208740,0.000000,77.000000,0.000000,3.000000,3.000000,3.000000,1491.906000,147509.000000
-2.140000,0.660000,-2.630000,0.000000,0.000000,0.000000,-12.750000,10.062500,-3.812500,0.000000,0.000000,0.000000,0.118408,0.970581,0.209656,0.001953,77.000000,0.000000,3.000000,3.000000,3.000000,1491.916000,147510.000000
-3.010000,1.800000,-4.100000,0.000000,0.000000,0.000000,-21.500000,6.312500,-10.625000,0.000000,0.000000,0.000000,0.120056,0.970154,0.210571,0.002747,77.000000,0.000000,3.000000,3.000000,3.000000,1491.926000,147511.000000
-4.300000,3.330000,-6.230000,0.000000,0.000000,0.000000,-29.375000,-2.062500,-16.875000,0.000000,0.000000,0.000000,0.122559,0.969543,0.211914,0.002930,77.000000,0.000000,3.000000,3.000000,3.000000,1491.936000,147512.000000
-8.830000,7.630000,-11.680000,0.000000,0.000000,0.000000,-29.375000,-2.062500,-16.875000,0.000000,0.000000,0.000000,0.126221,0.968750,0.213562,0.002136,77.000000,0.000000,3.000000,3.000000,3.000000,1491.946000,147513.000000
-10.820000,10.650000,-14.260000,0.000000,0.000000,0.000000,-41.312500,-16.187500,-22.187500,0.000000,0.000000,0.000000,0.126221,0.968750,0.213562,0.002136,77.000000,0.000000,3.000000,3.000000,3.000000,1491.956000,147514.000000
-13.120000,13.640000,-16.080000,0.000000,0.000000,0.000000,-75.562500,-62.187500,-48.750000,0.000000,0.000000,0.000000,0.138916,0.965759,0.219116,-0.004517,77.000000,0.000000,3.000000,3.000000,3.000000,1491.966000,147515.000000
-17.130000,24.140000,-19.110000,0.000000,0.000000,0.000000,-82.500000,-85.812500,-81.125000,0.000000,0.000000,0.000000,0.147217,0.963196,0.224792,-0.010925,77.000000,0.000000,3.000000,3.000000,3.000000,1491.976000,147516.000000
-18.100000,26.370000,-19.230000,0.000000,0.000000,0.000000,-84.500000,-87.812500,-129.625000,0.000000,0.000000,0.000000,0.155579,0.959473,0.234253,-0.018066,77.000000,0.000000,3.000000,3.000000,3.000000,1491.986000,147517.000000
-18.110000,28.650000,-18.400000,0.000000,0.000000,0.000000,-84.500000,-87.812500,-129.625000,0.000000,0.000000,0.000000,0.164185,0.954468,0.247864,-0.024109,77.000000,0.000000,3.000000,3.000000,3.000000,1491.996000,147518.000000
-16.900000,30.660000,-16.990000,0.000000,0.000000,0.000000,-92.875000,-68.312500,-177.375000,0.000000,0.000000,0.000000,0.172424,0.948425,0.264587,-0.027832,77.000000,0.000000,3.000000,3.000000,3.000000,1492.006000,147519.000000
-10.960000,28.840000,-14.130000,0.000000,0.000000,0.000000,-94.625000,5.125000,-229.625000,0.000000,0.000000,0.000000,0.179321,0.941711,0.283203,-0.028625,77.000000,0.000000,3.000000,3.000000,3.000000,1492.016000,147520.000000
-4.780000,27.380000,-11.780000,0.000000,0.000000,0.000000,-86.875000,35.562500,-250.062500,0.000000,0.000000,0.000000,0.184753,0.934265,0.303772,-0.027527,77.000000,0.000000,3.000000,3.000000,3.000000,1492.026000,147521.000000
